threshold,val_accuracy,val_precision,val_recall,val_f1
0.1,0.844731977818854,0.5921052631578947,0.45918367346938777,0.5172413793103449
0.11,0.8502772643253235,0.6164383561643836,0.45918367346938777,0.5263157894736842
0.12,0.8539741219963032,0.6376811594202898,0.4489795918367347,0.5269461077844312
0.13,0.8576709796672828,0.6567164179104478,0.4489795918367347,0.5333333333333333
0.14,0.8595194085027726,0.6666666666666666,0.4489795918367347,0.5365853658536586
0.15,0.8613678373382625,0.676923076923077,0.4489795918367347,0.5398773006134969
0.16,0.8613678373382625,0.676923076923077,0.4489795918367347,0.5398773006134969
0.17,0.8632162661737524,0.6875,0.4489795918367347,0.5432098765432098
0.18,0.8632162661737524,0.6875,0.4489795918367347,0.5432098765432098
0.19,0.8632162661737524,0.6875,0.4489795918367347,0.5432098765432098
0.2,0.8632162661737524,0.6875,0.4489795918367347,0.5432098765432098
0.21,0.8613678373382625,0.6825396825396826,0.4387755102040816,0.5341614906832298
0.22,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.23,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.24,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.25,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.26,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.27,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.28,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.29,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.3,0.8632162661737524,0.6935483870967742,0.4387755102040816,0.5375
0.31,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.32,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.33,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.34,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.35,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.36,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.37,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.38,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.39,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.4,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.41,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.42,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.43,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.44,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.45,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.46,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.47,0.8650646950092421,0.7049180327868853,0.4387755102040816,0.5408805031446541
0.48,0.866913123844732,0.7166666666666667,0.4387755102040816,0.5443037974683544
0.49,0.866913123844732,0.7166666666666667,0.4387755102040816,0.5443037974683544
0.5,0.8650646950092421,0.711864406779661,0.42857142857142855,0.535031847133758
0.51,0.8687615526802218,0.7368421052631579,0.42857142857142855,0.5419354838709678
0.52,0.8687615526802218,0.7368421052631579,0.42857142857142855,0.5419354838709678
0.53,0.8687615526802218,0.7368421052631579,0.42857142857142855,0.5419354838709678
0.54,0.866913123844732,0.7321428571428571,0.41836734693877553,0.5324675324675324
0.55,0.8650646950092421,0.7272727272727273,0.40816326530612246,0.5228758169934641
0.56,0.8650646950092421,0.7272727272727273,0.40816326530612246,0.5228758169934641
0.57,0.8650646950092421,0.7272727272727273,0.40816326530612246,0.5228758169934641
0.58,0.8632162661737524,0.7307692307692307,0.3877551020408163,0.5066666666666667
0.59,0.8632162661737524,0.7307692307692307,0.3877551020408163,0.5066666666666667
0.6,0.8613678373382625,0.7254901960784313,0.37755102040816324,0.4966442953020134
0.61,0.8613678373382625,0.7254901960784313,0.37755102040816324,0.4966442953020134
0.62,0.8576709796672828,0.7142857142857143,0.35714285714285715,0.47619047619047616
0.63,0.8576709796672828,0.7142857142857143,0.35714285714285715,0.47619047619047616
0.64,0.8595194085027726,0.7291666666666666,0.35714285714285715,0.4794520547945205
0.65,0.8595194085027726,0.7291666666666666,0.35714285714285715,0.4794520547945205
0.66,0.8595194085027726,0.7291666666666666,0.35714285714285715,0.4794520547945205
0.67,0.8632162661737524,0.7608695652173914,0.35714285714285715,0.4861111111111111
0.68,0.8632162661737524,0.7608695652173914,0.35714285714285715,0.4861111111111111
0.69,0.8632162661737524,0.7608695652173914,0.35714285714285715,0.4861111111111111
0.7,0.8632162661737524,0.7608695652173914,0.35714285714285715,0.4861111111111111
0.71,0.8632162661737524,0.7727272727272727,0.3469387755102041,0.4788732394366197
0.72,0.8613678373382625,0.7674418604651163,0.336734693877551,0.46808510638297873
0.73,0.8613678373382625,0.7674418604651163,0.336734693877551,0.46808510638297873
0.74,0.8613678373382625,0.7674418604651163,0.336734693877551,0.46808510638297873
0.75,0.8613678373382625,0.7674418604651163,0.336734693877551,0.46808510638297873
0.76,0.8613678373382625,0.7674418604651163,0.336734693877551,0.46808510638297873
0.77,0.8595194085027726,0.7619047619047619,0.32653061224489793,0.45714285714285713
0.78,0.8595194085027726,0.7619047619047619,0.32653061224489793,0.45714285714285713
0.79,0.8558225508317929,0.75,0.30612244897959184,0.43478260869565216
0.8,0.8558225508317929,0.75,0.30612244897959184,0.43478260869565216
0.81,0.8558225508317929,0.75,0.30612244897959184,0.43478260869565216
0.82,0.8539741219963032,0.7435897435897436,0.29591836734693877,0.4233576642335766
0.83,0.8539741219963032,0.7435897435897436,0.29591836734693877,0.4233576642335766
0.84,0.8539741219963032,0.7435897435897436,0.29591836734693877,0.4233576642335766
0.85,0.8502772643253235,0.7297297297297297,0.2755102040816326,0.4
0.86,0.8484288354898336,0.7222222222222222,0.2653061224489796,0.3880597014925373
0.87,0.8502772643253235,0.7428571428571429,0.2653061224489796,0.39097744360902253
0.88,0.8539741219963032,0.7878787878787878,0.2653061224489796,0.3969465648854962
0.89,0.8521256931608133,0.78125,0.25510204081632654,0.38461538461538464
0.9,0.8521256931608133,0.78125,0.25510204081632654,0.38461538461538464
